場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
東京,1,1,ニシノギブソン,根本康広,90.0,116.0,108.0,97.0,97.0,99.0,,,101.167,7.0
東京,1,2,セイウンリメンバー,千葉直人,137.0,118.0,100.0,110.0,120.0,133.0,,,119.667,1.0
東京,1,3,フォールティア,小野次郎,87.0,96.0,96.0,73.0,100.0,98.0,,,91.667,12.0
東京,1,4,ウォータースパウト,小笠倫弘,90.0,92.0,100.0,102.0,104.0,99.0,,,97.833,10.0
東京,1,5,ヴンダーバール,斎藤誠　,100.0,109.0,103.0,101.0,109.0,99.0,,,103.5,4.0
東京,1,6,ドゥーニ,矢嶋大樹,86.0,117.0,82.0,86.0,90.0,85.0,,,91.0,13.0
東京,1,7,ミラクルカイザー,武市康男,101.0,82.0,84.0,99.0,86.0,98.0,65.0,,87.857,15.0
東京,1,8,ボグラーモデル,柄崎将寿,,,,,,,,,,
東京,1,9,エマープ,青木孝文,86.0,102.0,96.0,96.0,93.0,85.0,,,93.0,11.0
東京,1,10,セントゴーデンス,黒岩陽一,122.0,91.0,96.0,95.0,106.0,105.0,,,102.5,6.0
東京,1,11,パワポケウォーズ,大和田成,127.0,113.0,107.0,109.0,115.0,127.0,128.0,,118.0,2.0
東京,1,12,ヴァルボナ,田村康仁,97.0,98.0,97.0,101.0,100.0,99.0,,,98.667,8.0
東京,1,13,タイセイゴッシュ,池上昌和,108.0,104.0,103.0,97.0,100.0,109.0,,,103.5,4.0
東京,1,14,サンデーパーティー,相沢郁　,78.0,89.0,95.0,105.0,88.0,85.0,,,90.0,14.0
東京,1,15,サンダーヴィント,高木登　,114.0,114.0,106.0,100.0,100.0,110.0,,,107.333,3.0
東京,1,16,スーパーチャイルド,本間忍　,101.0,92.0,88.0,107.0,97.0,105.0,,,98.333,9.0
東京,2,1,テンユウ,奥村武　,99.0,87.0,101.0,101.0,102.0,96.0,105.0,,98.714,6.0
東京,2,2,ウインラファーガ,村田一誠,73.0,75.0,82.0,61.0,76.0,72.0,,,73.167,10.0
東京,2,3,コズミックボックス,中舘英二,93.0,97.0,83.0,103.0,97.0,96.0,,,94.833,8.0
東京,2,4,キンググローリー,古賀慎明,105.0,109.0,101.0,83.0,101.0,101.0,,,100.0,5.0
東京,2,5,サザンテイオー,根本康広,90.0,116.0,93.0,97.0,97.0,99.0,,,98.667,7.0
東京,2,6,フィーユレアル,斎藤誠　,100.0,109.0,97.0,101.0,109.0,99.0,,,102.5,3.0
東京,2,7,イヌボウノユウヒ,鹿戸雄一,104.0,103.0,107.0,133.0,110.0,110.0,,,111.167,1.0
東京,2,8,エーデルハイ,天間昭一,85.0,98.0,96.0,104.0,89.0,76.0,,,91.333,9.0
東京,2,9,トレニアムーン,清水英克,78.0,109.0,119.0,103.0,100.0,97.0,,,101.0,4.0
東京,2,10,マカナアネラ,角田晃一,128.0,104.0,110.0,97.0,101.0,114.0,,,109.0,2.0
東京,3,1,アトリ,清水久詞,92.0,95.0,101.0,94.0,95.0,91.0,,,94.667,6.0
東京,3,2,ハロングロットル,伊藤伸一,82.0,84.0,100.0,98.0,88.0,89.0,,,90.167,8.0
東京,3,3,チャリングクロス,奥村武　,99.0,87.0,101.0,101.0,93.0,96.0,93.0,,95.714,4.0
東京,3,4,ツキノマバタキ,牧光二　,103.0,110.0,106.0,110.0,111.0,105.0,,,107.5,1.0
東京,3,5,ゼータレティクル,小手川準,85.0,98.0,78.0,99.0,93.0,101.0,,,92.333,7.0
東京,3,6,イブキ,矢野英一,102.0,96.0,84.0,91.0,77.0,91.0,,,90.167,8.0
東京,3,7,フロステリオン,萱野浩二,89.0,97.0,102.0,92.0,96.0,96.0,,,95.333,5.0
東京,3,8,タイドグラフ,上原博之,100.0,93.0,100.0,92.0,97.0,95.0,,,96.167,3.0
東京,3,9,アルデキングダム,村田一誠,73.0,75.0,82.0,61.0,72.0,72.0,93.0,,75.429,10.0
東京,3,10,ブリサマリーナ,久保田貴,116.0,101.0,102.0,105.0,96.0,107.0,,,104.5,2.0
東京,4,1,アクロスメモリア,田島俊明,106.0,125.0,104.0,87.0,99.0,104.0,,,104.167,4.0
東京,4,2,ゴールデンスラム,池江泰寿,88.0,84.0,96.0,89.0,97.0,97.0,,,91.833,12.0
東京,4,3,デアトゥノウ,田島俊明,106.0,125.0,104.0,87.0,99.0,104.0,,,104.167,4.0
東京,4,4,パトリシア,杉浦宏昭,98.0,85.0,102.0,100.0,105.0,95.0,,,97.5,7.0
東京,4,5,キョウエイハル,伊坂重信,94.0,122.0,88.0,94.0,89.0,90.0,,,96.167,9.0
東京,4,6,エムアイプレスト,青木孝文,86.0,79.0,96.0,96.0,93.0,85.0,,,89.167,13.0
東京,4,7,レイオブファイア,加藤士津,105.0,105.0,104.0,105.0,98.0,97.0,,,102.333,6.0
東京,4,8,スーホ,上原佑紀,108.0,107.0,108.0,98.0,113.0,97.0,,,105.167,3.0
東京,4,9,ガイストライヒ,高柳大輔,100.0,98.0,107.0,124.0,110.0,105.0,,,107.333,1.0
東京,4,10,ニューカワイイ,清水英克,78.0,89.0,90.0,103.0,100.0,97.0,,,92.833,11.0
東京,4,11,モンスエ,高橋一哉,89.0,21.0,63.0,45.0,75.0,70.0,,,60.5,16.0
東京,4,12,ココニーナ,加藤和宏,90.0,51.0,89.0,84.0,91.0,98.0,,,83.833,15.0
東京,4,13,サンマルフォース,和田勇介,94.0,99.0,95.0,90.0,91.0,100.0,,,94.833,10.0
東京,4,14,アルコア,伊藤圭三,99.0,93.0,103.0,90.0,101.0,99.0,,,97.5,7.0
東京,4,15,トリアングルレディ,尾関知人,90.0,71.0,93.0,85.0,85.0,87.0,,,85.167,14.0
東京,4,16,レオレコメンド,牧光二　,103.0,111.0,104.0,110.0,103.0,105.0,,,106.0,2.0
東京,5,1,モンシーク,橋口慎介,78.0,81.0,94.0,95.0,100.0,94.0,,,90.333,9.0
東京,5,2,コスモアマデウス,畠山吉宏,88.0,93.0,93.0,88.0,105.0,97.0,,,94.0,6.0
東京,5,3,リーピングサイン,武藤善則,92.0,87.0,104.0,85.0,91.0,89.0,,,91.333,8.0
東京,5,4,フォンドルレール,戸田博文,103.0,91.0,103.0,108.0,90.0,101.0,,,99.333,3.0
東京,5,5,マスカルポーネ,水野貴広,72.0,55.0,84.0,89.0,108.0,83.0,,,81.833,11.0
東京,5,6,キーサーバー,青木孝文,86.0,79.0,103.0,96.0,101.0,85.0,,,91.667,7.0
東京,5,7,エンジェルボイス,吉村圭司,125.0,130.0,108.0,111.0,96.0,104.0,,,112.333,1.0
東京,5,8,ベリンガム,矢嶋大樹,86.0,72.0,84.0,86.0,71.0,85.0,,,80.667,12.0
東京,5,9,ベンティガオルサ,清水久詞,92.0,93.0,101.0,94.0,95.0,91.0,,,94.333,5.0
東京,5,10,ディープエフェクト,相沢郁　,78.0,112.0,93.0,105.0,98.0,85.0,,,95.167,4.0
東京,5,11,オセアフェアモント,菊川正達,78.0,67.0,93.0,84.0,92.0,86.0,,,83.333,10.0
東京,5,12,イクシード,木村哲也,106.0,113.0,105.0,109.0,96.0,104.0,,,105.5,2.0
東京,6,1,テンホワイトラブ,小西一男,98.0,93.0,98.0,100.0,93.0,90.0,98.0,,95.714,6.0
東京,6,2,サンタアニタ,斎藤誠　,100.0,99.0,103.0,103.0,109.0,99.0,,,102.167,2.0
東京,6,3,アサクサグレース,戸田博文,103.0,95.0,96.0,106.0,108.0,101.0,,,101.5,3.0
東京,6,4,ノアスペシャル,鈴木慎太,113.0,98.0,109.0,100.0,113.0,108.0,122.0,,109.0,1.0
東京,6,5,アンビシュー,村田一誠,73.0,91.0,69.0,99.0,76.0,72.0,87.0,,81.0,13.0
東京,6,6,メルシージュテーム,西田雄一,87.0,85.0,104.0,92.0,102.0,93.0,79.0,,91.714,11.0
東京,6,7,キカオクベシ,根本康広,90.0,95.0,108.0,107.0,97.0,99.0,,,99.333,4.0
東京,6,8,ルージュベルベット,浅利英明,,,,,,,,,,
東京,6,9,ウエヲムイテゴラン,萩原清　,99.0,96.0,104.0,89.0,92.0,95.0,94.0,,95.571,7.0
東京,6,10,ルージュナリッシュ,国枝栄　,99.0,97.0,91.0,86.0,91.0,94.0,94.0,,93.143,9.0
東京,6,11,グレイスカリヨン,堀内岳志,126.0,82.0,86.0,71.0,108.0,103.0,114.0,,98.571,5.0
東京,6,12,モリノアミーゴ,鈴木伸尋,91.0,90.0,91.0,103.0,96.0,87.0,,,93.0,10.0
東京,6,13,モーニングマジック,武藤善則,92.0,97.0,92.0,103.0,96.0,89.0,92.0,,94.429,8.0
東京,6,14,セギレエルビエント,伊坂重信,94.0,76.0,88.0,87.0,89.0,90.0,,,87.333,12.0
東京,6,15,シンガソング,土田稔　,68.0,90.0,68.0,69.0,75.0,69.0,76.0,,73.571,14.0
東京,7,1,ウインドワンピース,新開幸一,96.0,94.0,95.0,93.0,94.0,90.0,91.0,,93.286,12.0
東京,7,2,カフェロワドール,嘉藤貴行,109.0,101.0,104.0,104.0,105.0,102.0,,,104.167,4.0
東京,7,3,ヒットミー,鹿戸雄一,104.0,102.0,101.0,99.0,110.0,110.0,98.0,,103.429,5.0
東京,7,4,レッドベルダンス,手塚貴久,106.0,97.0,93.0,101.0,104.0,103.0,,,100.667,7.0
東京,7,5,ツマヤ,小野次郎,87.0,109.0,96.0,106.0,100.0,98.0,105.0,,100.143,8.0
東京,7,6,サムワンライクユー,佐藤吉勝,83.0,109.0,107.0,187.0,103.0,102.0,149.0,,120.0,1.0
東京,7,7,アデランテ,菊川正達,78.0,93.0,90.0,95.0,90.0,86.0,123.0,,93.571,11.0
東京,7,8,プルシャプラ,池上昌和,108.0,107.0,103.0,105.0,100.0,109.0,,,105.333,3.0
東京,7,9,ハッピーウィズユー,小笠倫弘,90.0,100.0,100.0,90.0,104.0,99.0,,,97.167,10.0
東京,7,10,ボルトテソーロ,栗田徹　,91.0,90.0,90.0,89.0,86.0,92.0,91.0,,89.857,15.0
東京,7,11,ホウオウジュビリー,西田雄一,87.0,85.0,104.0,79.0,102.0,93.0,79.0,,89.857,15.0
東京,7,12,ジェシーテソーロ,牧光二　,103.0,96.0,104.0,106.0,103.0,105.0,97.0,,102.0,6.0
東京,7,13,スクレイピング,尾関知人,90.0,95.0,93.0,88.0,85.0,87.0,105.0,,91.857,14.0
東京,7,14,カンレイスキー,竹内正洋,115.0,108.0,107.0,99.0,112.0,112.0,88.0,,105.857,2.0
東京,7,15,ピコブルー,上原博之,100.0,99.0,98.0,100.0,96.0,95.0,,,98.0,9.0
東京,7,16,コーカサスゴールド,加藤和宏,90.0,92.0,89.0,73.0,91.0,98.0,113.0,,92.286,13.0
東京,8,1,ダノンジャガー,池江泰寿,88.0,93.0,97.0,88.0,89.0,97.0,,,92.0,7.0
東京,8,2,ピースヒロフェイス,牧光二　,103.0,96.0,106.0,91.0,40.0,105.0,,,90.167,9.0
東京,8,3,サンライズガッツ,茶木太樹,106.0,92.0,86.0,82.0,94.0,96.0,84.0,,91.429,8.0
東京,8,4,アロンズロッド,国枝栄　,99.0,97.0,95.0,86.0,94.0,94.0,94.0,,94.143,6.0
東京,8,5,レッドヴァリアート,加藤公太,,,,,,,,,,
東京,8,6,ノラリクラリ,藤岡健一,120.0,106.0,99.0,100.0,82.0,107.0,96.0,,101.429,4.0
東京,8,7,ビリングス,手塚貴久,106.0,97.0,107.0,101.0,84.0,103.0,,,99.667,5.0
東京,8,8,ティムール,中竹和也,122.0,104.0,113.0,100.0,112.0,107.0,105.0,,109.0,2.0
東京,8,9,サラダ,武英智　,130.0,103.0,105.0,100.0,113.0,105.0,,,109.333,1.0
東京,8,10,マーゴットソラーレ,伊坂重信,94.0,76.0,84.0,82.0,76.0,90.0,86.0,,84.0,10.0
東京,8,11,メイショウアゴナス,本田優　,113.0,104.0,99.0,98.0,104.0,115.0,,,105.5,3.0
東京,9,1,サンドオブエテル,蛯名正義,97.0,85.0,97.0,87.0,104.0,92.0,90.0,,93.143,14.0
東京,9,2,ギフテッド,武井亮　,98.0,102.0,99.0,105.0,105.0,100.0,,,101.5,8.0
東京,9,3,キングノジョー,田中博康,98.0,101.0,92.0,102.0,95.0,94.0,90.0,,96.0,12.0
東京,9,4,ロゼル,大和田成,127.0,105.0,104.0,85.0,115.0,127.0,,,110.5,1.0
東京,9,5,ベストオブユー,久保田貴,116.0,103.0,102.0,101.0,104.0,107.0,112.0,,106.429,3.0
東京,9,6,ドーンコーラス,萩原清　,99.0,96.0,92.0,89.0,92.0,95.0,94.0,,93.857,13.0
東京,9,7,アイサンサン,佐々木晶,90.0,106.0,105.0,110.0,113.0,110.0,,,105.667,4.0
東京,9,8,コムユンプリュム,鹿戸雄一,104.0,102.0,107.0,99.0,110.0,110.0,98.0,,104.286,6.0
東京,9,9,メタルスピード,斎藤誠　,100.0,99.0,97.0,102.0,109.0,99.0,,,101.0,9.0
東京,9,10,エンペラーズソード,高木登　,114.0,94.0,105.0,106.0,100.0,110.0,,,104.833,5.0
東京,9,11,ステラバルセロナ,菊川正達,78.0,93.0,93.0,94.0,90.0,86.0,,,89.0,16.0
東京,9,12,マテンロウバローズ,昆貢　　,92.0,89.0,98.0,96.0,90.0,98.0,112.0,,96.429,11.0
