場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
中山,1,1,ストライプブルー,中川公成,92.0,99.0,103.0,105.0,109.0,88.0,,,99.333,7.0
中山,1,2,バル,武市康男,87.0,82.0,84.0,88.0,86.0,88.0,,,85.833,15.0
中山,1,3,ジャガーライズ,伊藤圭三,86.0,95.0,103.0,103.0,101.0,101.0,,,98.167,9.0
中山,1,4,デアトゥノウ,田島俊明,89.0,94.0,104.0,105.0,99.0,99.0,,,98.333,8.0
中山,1,5,ヴァイオスペース,黒岩陽一,97.0,91.0,96.0,93.0,106.0,96.0,120.0,77.0,97.0,12.0
中山,1,6,サトノエスケープ,久保田貴,92.0,101.0,99.0,97.0,104.0,94.0,,,97.833,11.0
中山,1,7,ドリームガッサン,鈴木伸尋,96.0,103.0,91.0,103.0,96.0,99.0,,,98.0,10.0
中山,1,8,エクスプレスナイト,青木孝文,107.0,102.0,96.0,101.0,93.0,109.0,,,101.333,5.0
中山,1,9,フクノエルデ,田中剛　,105.0,113.0,107.0,120.0,102.0,112.0,87.0,113.0,107.375,1.0
中山,1,10,ダイコクヤタエモン,牧光二　,96.0,110.0,104.0,106.0,103.0,104.0,94.0,105.0,102.75,3.0
中山,1,11,エコロバロン,菊沢隆徳,88.0,104.0,100.0,104.0,109.0,95.0,,,100.0,6.0
中山,1,12,フレンチブラッサム,柄崎将寿,,,,,,,,,,
中山,1,13,オスロクィーン,武井亮　,107.0,109.0,110.0,105.0,105.0,106.0,91.0,103.0,104.5,2.0
中山,1,14,カシノハンゾウ,蛯名利弘,89.0,86.0,93.0,103.0,89.0,90.0,,,91.667,14.0
中山,1,15,フックセンチョウ,佐藤吉勝,88.0,88.0,107.0,82.0,103.0,90.0,,,93.0,13.0
中山,1,16,ベアゴーフォー,杉浦宏昭,91.0,105.0,102.0,107.0,105.0,105.0,,,102.5,4.0
中山,2,1,ウォータースパウト,小笠倫弘,95.0,92.0,100.0,90.0,89.0,99.0,,,94.167,12.0
中山,2,2,ブリスフルイヤー,新開幸一,95.0,97.0,95.0,89.0,94.0,96.0,,,94.333,11.0
中山,2,3,ライブリピュア,尾形和幸,95.0,94.0,85.0,95.0,103.0,96.0,,,94.667,10.0
中山,2,4,オリエンタルガール,相沢郁　,107.0,89.0,95.0,87.0,98.0,100.0,,,96.0,9.0
中山,2,5,ルミテュット,萩原清　,106.0,108.0,104.0,102.0,107.0,103.0,,,105.0,3.0
中山,2,6,イサチルクイーン,竹内正洋,101.0,103.0,107.0,99.0,96.0,100.0,,,101.0,4.0
中山,2,7,リュウノプティ,伊坂重信,78.0,95.0,88.0,87.0,84.0,87.0,71.0,77.0,83.375,16.0
中山,2,8,アンファール,和田雄二,102.0,101.0,81.0,108.0,93.0,94.0,,,96.5,7.0
中山,2,9,ディレクティオ,金成貴史,110.0,107.0,113.0,101.0,102.0,103.0,,,106.0,1.0
中山,2,10,キタノマテンロウ,萱野浩二,114.0,97.0,90.0,96.0,96.0,96.0,,,98.167,5.0
中山,2,11,エンゼルランプ,武市康男,87.0,82.0,84.0,88.0,96.0,88.0,,,87.5,15.0
中山,2,12,ラングドシャ,上原佑紀,114.0,95.0,108.0,102.0,105.0,118.0,83.0,117.0,105.25,2.0
中山,2,13,レイナロハルンバ,加藤和宏,83.0,90.0,89.0,99.0,84.0,80.0,79.0,103.0,88.375,14.0
中山,2,14,フォルマシオン,菊沢隆徳,88.0,104.0,100.0,104.0,97.0,95.0,,,98.0,6.0
中山,2,15,パルミエ,宮田敬介,85.0,96.0,89.0,95.0,95.0,86.0,,,91.0,13.0
中山,2,16,ゴールドソシアル,武藤善則,91.0,100.0,92.0,103.0,91.0,102.0,,,96.5,7.0
中山,3,1,ロジキセキ,新開幸一,95.0,97.0,95.0,89.0,94.0,96.0,91.0,97.0,94.25,8.0
中山,3,2,トーセンブリラーレ,小笠倫弘,95.0,92.0,100.0,90.0,89.0,99.0,,,94.167,9.0
中山,3,3,カフェラジェム,柄崎将寿,,,,,,,,,,
中山,3,4,エラルディーク,宮田敬介,85.0,96.0,89.0,95.0,95.0,86.0,,,91.0,10.0
中山,3,5,クリムゾンリーフ,加藤士津,121.0,94.0,104.0,90.0,106.0,104.0,,,103.167,3.0
中山,3,6,ザンテソーロ,畠山吉宏,104.0,97.0,103.0,96.0,105.0,97.0,,,100.333,5.0
中山,3,7,スノースコール,加藤征弘,93.0,103.0,100.0,102.0,94.0,93.0,,,97.5,7.0
中山,3,8,セブンワンダーズ,斎藤誠　,98.0,109.0,103.0,103.0,90.0,101.0,,,100.667,4.0
中山,3,9,ミアエッテ,田中剛　,105.0,113.0,107.0,120.0,116.0,112.0,,,112.167,1.0
中山,3,10,キセログラフィカ,大和田成,85.0,113.0,107.0,108.0,96.0,89.0,95.0,108.0,100.125,6.0
中山,3,11,パテントプール,萩原清　,106.0,108.0,104.0,102.0,107.0,103.0,,,105.0,2.0
中山,3,12,サンタピア,松山将樹,70.0,100.0,97.0,86.0,104.0,84.0,,,90.167,11.0
中山,4,1,スマートクオーレ,粕谷昌央,107.0,78.0,93.0,97.0,120.0,88.0,,,97.167,7.0
中山,4,2,アルデツヨシ,田中剛　,105.0,103.0,107.0,105.0,93.0,112.0,,,104.167,2.0
中山,4,3,ブレイクザアイス,森一誠　,123.0,92.0,107.0,77.0,109.0,130.0,,,106.333,1.0
中山,4,4,ファミーユウルーズ,武藤善則,91.0,97.0,92.0,92.0,117.0,102.0,129.0,89.0,101.125,4.0
中山,4,5,ウインイメル,深山雅史,125.0,99.0,98.0,100.0,93.0,113.0,98.0,92.0,102.25,3.0
中山,4,6,マウントバーノン,戸田博文,108.0,95.0,96.0,103.0,105.0,99.0,,,101.0,5.0
中山,4,7,カイトヴィント,和田雄二,102.0,74.0,81.0,64.0,96.0,94.0,,,85.167,12.0
中山,4,8,チビノシエラザード,和田勇介,91.0,90.0,95.0,92.0,105.0,95.0,,,94.667,9.0
中山,4,9,ロードアフェット,高柳瑞樹,94.0,84.0,91.0,92.0,104.0,98.0,,,93.833,10.0
中山,4,10,リボルトバレット,伊藤伸一,112.0,110.0,82.0,88.0,99.0,94.0,,,97.5,6.0
中山,4,11,キャストロププ,尾形和幸,95.0,100.0,85.0,100.0,98.0,96.0,,,95.667,8.0
中山,4,12,フォレストゲート,小手川準,104.0,91.0,106.0,90.0,75.0,94.0,101.0,86.0,93.375,11.0
中山,4,13,ステイアンビシャス,堀内岳志,73.0,82.0,86.0,96.0,75.0,90.0,,,83.667,13.0
中山,5,1,モナート,松山将樹,70.0,98.0,93.0,86.0,87.0,84.0,,,86.333,14.0
中山,5,2,イヌボウノサザナミ,大和田成,85.0,106.0,104.0,108.0,115.0,89.0,,,101.167,9.0
中山,5,3,トルークマクト,福永祐一,21.0,82.0,99.0,119.0,102.0,106.0,,,88.167,13.0
中山,5,4,ブレイヴソルジャー,新開幸一,95.0,104.0,92.0,89.0,94.0,96.0,,,95.0,11.0
中山,5,5,ウインシャリーフ,金成貴史,110.0,101.0,96.0,101.0,101.0,103.0,,,102.0,5.0
中山,5,6,ゴーゴーパンチ,天間昭一,84.0,28.0,96.0,80.0,89.0,90.0,,,77.833,16.0
中山,5,7,タッカーヴァンバン,田島俊明,89.0,125.0,92.0,105.0,99.0,99.0,,,101.5,7.0
中山,5,8,キタノタイキ,奥平雅士,104.0,122.0,110.0,95.0,100.0,112.0,,,107.167,2.0
中山,5,9,ハートチャン,金成貴史,110.0,101.0,96.0,101.0,101.0,103.0,,,102.0,5.0
中山,5,10,ココナッツコースト,木村哲也,100.0,113.0,105.0,104.0,102.0,96.0,,,103.333,3.0
中山,5,11,ヴァルカンテソーロ,嘉藤貴行,98.0,93.0,104.0,104.0,105.0,105.0,,,101.5,7.0
中山,5,12,デイトナチャンプ,加藤征弘,93.0,97.0,95.0,102.0,102.0,93.0,,,97.0,10.0
中山,5,13,レガリーノ,池上昌和,116.0,113.0,112.0,105.0,100.0,106.0,,,108.667,1.0
中山,5,14,スプリングドリーム,加藤士津,121.0,105.0,96.0,90.0,98.0,104.0,,,102.333,4.0
中山,5,15,アステリアート,高橋義忠,81.0,65.0,98.0,100.0,97.0,100.0,,,90.167,12.0
中山,5,16,エスシーケイミー,松山将樹,70.0,98.0,93.0,86.0,87.0,84.0,,,86.333,14.0
中山,6,1,ギルドホール,嘉藤貴行,98.0,105.0,104.0,104.0,103.0,105.0,,,103.167,6.0
中山,6,2,キンググローリー,古賀慎明,104.0,109.0,101.0,105.0,97.0,96.0,,,102.0,7.0
中山,6,3,マイネルミラケル,畠山吉宏,104.0,97.0,93.0,96.0,105.0,97.0,,,98.667,11.0
中山,6,4,プレイザリード,加藤士津,121.0,94.0,96.0,90.0,106.0,104.0,,,101.833,8.0
中山,6,5,ナハトナナレオン,矢嶋大樹,117.0,117.0,84.0,148.0,71.0,86.0,83.0,,100.857,9.0
中山,6,6,マーゴットライズ,伊坂重信,78.0,95.0,84.0,87.0,84.0,87.0,71.0,,83.714,17.0
中山,6,7,サトノワーグナー,斎藤誠　,98.0,109.0,97.0,103.0,90.0,101.0,88.0,,98.0,12.0
中山,6,8,ポポラヴィスタ,鈴木慎太,108.0,109.0,111.0,110.0,107.0,110.0,,,109.167,1.0
中山,6,9,クオンタムスター,堀宣行　,108.0,107.0,108.0,101.0,102.0,103.0,,,104.833,4.0
中山,6,10,ウィロークリーク,中舘英二,109.0,97.0,83.0,89.0,99.0,99.0,,,96.0,13.0
中山,6,11,レディトゥランブル,武井亮　,107.0,109.0,99.0,105.0,104.0,106.0,,,105.0,3.0
中山,6,12,イモータリス,手塚貴久,104.0,111.0,107.0,101.0,103.0,102.0,,,104.667,5.0
中山,6,13,アッパーウォーター,千葉直人,108.0,118.0,113.0,110.0,77.0,87.0,85.0,,99.714,10.0
中山,6,14,マイネルゼーロス,相沢郁　,107.0,89.0,93.0,87.0,98.0,100.0,,,95.667,14.0
中山,6,15,イブキ,矢野英一,96.0,96.0,84.0,94.0,77.0,88.0,,,89.167,15.0
中山,6,16,マイネルリーヒム,武市康男,87.0,82.0,100.0,88.0,96.0,88.0,72.0,,87.571,16.0
中山,6,17,ボグラーモデル,柄崎将寿,,,,,,,,,,
中山,6,18,ラスターヴァース,牧光二　,96.0,110.0,106.0,106.0,111.0,104.0,,,105.5,2.0
中山,7,1,コスモエルヴァル,黒岩陽一,97.0,104.0,103.0,93.0,94.0,96.0,,,97.833,6.0
中山,7,2,ステラスペース,武藤善則,91.0,97.0,104.0,103.0,91.0,102.0,,,98.0,5.0
中山,7,3,アンソニー,武幸四郎,140.0,111.0,107.0,107.0,115.0,107.0,,,114.5,1.0
中山,7,4,ヒシアムルーズ,堀宣行　,108.0,102.0,108.0,101.0,102.0,103.0,111.0,,105.0,4.0
中山,7,5,サンブライト,鈴木慎太,108.0,98.0,111.0,110.0,107.0,110.0,122.0,,109.429,3.0
中山,7,6,セヴェロ,池江泰寿,106.0,93.0,97.0,88.0,97.0,97.0,,,96.333,9.0
中山,7,7,チャリングクロス,奥村武　,91.0,100.0,101.0,90.0,93.0,97.0,105.0,,96.714,7.0
